Nivel_Optimizacion, T_popcount1, T_popcount2, T_popcount3, T_popcount4, T_popcount5, T_popcount6, T_popcount7, T_popcount8, T_popcount9, T_popcount10
Og,14502,5661,8768,6716,3503,1697,987,266,321,219,
O0,52346,27333,7917,7244,13596,4859,2487,482,1812,549,
O1,14861,8332,7148,11055,2983,1703,967,267,437,219,
O2,13874,5569,7018,6672,2960,1543,886,280,329,219,
Og,14445,5600,10601,6725,3502,1707,993,266,321,219,
O0,52371,28862,7910,7258,13595,4894,2508,489,1806,554,
O1,15045,8320,7065,10943,2959,1699,964,266,437,219,
O2,13850,5536,7052,6707,2964,1545,881,280,328,220,
Og,14434,5588,8744,6674,3506,1689,978,267,320,219,
O0,52374,27294,7893,7232,13588,4892,2505,489,1814,551,
O1,14955,7402,7083,8778,2994,1704,967,267,437,219,
O2,13861,5552,7011,6684,2958,1542,877,281,326,219,
Og,14450,5607,8746,6713,3501,1709,992,267,321,219,
O0,52418,29468,7889,7241,13595,4918,2526,501,1799,552,
O1,14989,8351,7097,8855,3040,1740,991,298,453,254,
O2,13743,5539,7272,6669,2958,1538,877,282,325,219,
Og,14484,5642,8768,6693,3503,1688,990,268,322,219,
O0,52611,29389,7940,7302,13588,4931,2539,510,1809,583,
O1,15200,7440,7161,8879,3042,1711,983,280,438,219,
O2,14010,5639,7091,6741,3042,1575,896,301,325,220,
Og,14663,5732,9012,6804,3604,1760,1011,289,325,220,
O0,52697,27359,7911,7364,13668,5099,2636,539,1804,556,
O1,15333,8357,7250,8906,3146,1754,1016,284,438,227,
O2,14345,5678,7329,6811,3004,1585,908,282,326,223,
Og,14483,5674,8771,6738,3528,1708,1025,294,336,221,
O0,53978,28859,8250,7359,14027,5003,2597,708,2009,624,
O1,14995,8366,7124,8836,3029,1705,968,272,458,250,
O2,13946,5637,7071,6716,3058,1602,905,294,327,219,
Og,14521,5775,8864,6733,3536,1740,1032,329,375,232,
O0,52839,27971,8056,7957,14033,5487,2713,568,1864,576,
O1,15156,7742,7174,8913,3093,1775,987,275,437,218,
O2,14139,5582,7189,6722,2991,1552,880,279,330,219,
Og,14507,5705,8801,6738,3528,1712,999,269,321,219,
O0,52428,28966,11069,7281,13647,4897,2672,519,1900,616,
O1,15143,8331,7130,10860,3034,1825,991,292,438,219,
O2,13921,5574,7042,7868,2984,1549,887,279,324,218,
Og,14488,5660,8760,6684,3547,1695,985,271,325,219,
O0,52414,29861,7904,11948,13592,4900,2508,534,1816,560,
O1,14899,8339,7094,8779,2999,1705,964,268,437,219,
O2,13829,5548,7049,10320,2961,1544,879,280,328,218,
Og,14467,5601,9047,6744,3516,1764,993,267,321,218,
O0,52444,27247,7875,7200,13594,4868,2490,483,1814,552,
O1,15032,8202,7079,8775,2997,1686,953,268,437,220,
O2,13738,5551,7056,6675,2955,1546,879,280,326,218,
Og,14454,5603,8751,6681,3507,1689,980,267,323,219,
O0,52435,27236,7872,7206,13594,4892,2527,497,1811,549,
O1,14997,8332,7070,8791,2984,1695,958,268,437,219,
O2,13750,5545,7043,6699,2958,1553,884,280,325,219,
Og,14442,5601,8755,6720,3503,1711,992,272,323,219,
O0,52445,28327,7878,7212,13592,4856,2488,483,1869,552,
O1,15039,8335,7077,8809,2999,1697,958,268,437,219,
O2,13792,5536,7017,6662,2956,1539,878,279,326,219,
Og,14446,5606,8744,6725,3502,1711,991,268,322,221,
O0,52471,27981,7866,7214,13605,4862,2488,482,1806,550,
O1,15009,8335,7093,8794,2994,1695,958,266,437,219,
O2,13884,5536,7025,6685,2962,1550,881,281,325,219,
Og,14503,5615,8756,6682,3501,1689,978,265,322,218,
O0,52451,27245,7871,7209,13594,4861,2489,484,1798,552,
O1,14977,8347,7100,8782,2998,1692,963,268,437,219,
O2,13798,5524,7072,6688,2958,1555,884,281,326,219,
Og,14461,7678,8764,6704,3521,1709,979,268,321,219,
O0,52381,29578,7899,11284,13586,4892,2506,490,1816,575,
O1,14949,8104,7061,8804,2997,1692,953,268,437,219,
O2,13741,5545,7009,6664,2957,1537,893,296,333,223,
Og,14449,5612,8754,6725,3503,1706,992,272,322,219,
O0,52412,27259,7895,7231,13586,4887,2508,487,1810,550,
O1,14867,8335,7096,9935,2993,1696,959,268,438,224,
O2,13874,5548,7030,6677,2960,1538,879,285,326,219,
Og,14453,10417,8743,6761,3504,1707,985,267,321,219,
O0,52929,28103,7872,7260,13581,4925,2525,491,1804,550,
O1,15022,8337,7074,8782,2998,1696,963,268,437,219,
O2,13861,5548,7065,6708,2976,1555,883,280,325,220,
Og,14459,5635,8753,6717,3502,1707,991,272,321,219,
O0,52450,27242,7854,7200,13593,4862,2488,483,1800,550,
O1,14999,8356,7110,8790,2988,1703,959,268,437,219,
O2,13701,5562,7034,6670,2965,1553,884,280,324,218,
Og,14459,5607,8748,6691,3513,1708,986,269,323,220,
O0,52362,27817,11929,7269,13579,4923,2525,493,1796,563,
O1,14946,8338,7084,8819,3000,1701,960,269,437,219,
O2,13897,5868,7079,6719,2962,1551,893,284,331,222,
Og,14453,7366,8742,6680,3505,1691,979,266,321,219,
O0,52981,28224,7877,7222,13601,4891,2487,483,1820,550,
O1,14918,8341,7099,8774,2994,1705,964,266,437,219,
O2,13873,5532,7024,6691,2956,1548,881,280,325,219,
Og,14447,5622,8754,6726,3515,1693,981,268,326,219,
O0,52465,28239,7867,7222,13592,4864,2486,484,1799,549,
O1,15019,8351,7063,8789,2993,1685,952,266,437,218,
O2,14022,5551,7044,6674,2958,1544,881,281,331,219,
Og,14467,5618,8747,6687,3503,1689,983,267,321,219,
O0,52363,28125,7873,7239,13588,4899,2512,493,1807,553,
O1,14956,8318,7095,8789,2957,1695,959,268,438,223,
O2,13837,5551,7067,6707,2957,1537,886,281,325,219,
Og,14448,5611,8751,6693,3504,1697,987,268,321,219,
O0,52455,29384,7905,7264,13591,4895,2511,488,1804,550,
O1,14957,8343,7077,8802,3192,1961,1000,304,440,219,
O2,13880,5531,7021,6691,2965,1552,896,279,325,219,
Og,14452,5617,8745,6680,3503,1692,979,267,322,219,
O0,52391,29936,7890,7221,13588,4890,2506,487,1807,550,
O1,15005,8336,7052,8776,2990,1686,956,267,437,219,
O2,13859,5560,7026,6663,2961,1537,887,297,326,219,
Og,14451,5611,8746,6678,3502,1690,978,267,323,226,
O0,52485,29611,7887,7242,13600,4861,2487,482,1809,550,
O1,15005,7325,7083,11472,3018,1710,1000,309,472,225,
O2,13906,5573,7035,6672,2993,1565,890,291,326,219,
Og,14459,5623,8743,6696,3502,1691,979,268,322,220,
O0,52460,27292,7871,7231,13594,4855,2489,482,1804,550,
O1,15042,8330,7064,8808,2994,1704,968,268,437,219,
O2,13845,5532,7028,6710,2960,1553,885,281,326,219,
Og,14465,5638,8747,6694,3507,1700,987,269,321,219,
O0,52375,28722,10387,7247,13589,4892,2509,484,1813,551,
O1,14889,8388,7125,8795,2996,1703,960,266,437,219,
O2,13840,5552,7029,9667,2966,1544,898,281,326,219,
Og,14463,5615,8764,6726,3508,1709,991,266,321,218,
O0,52376,27281,7892,7237,13586,4893,2516,487,1800,553,
O1,14876,8111,7133,8808,2995,1704,964,266,439,218,
O2,13983,5560,7033,6673,2958,1544,888,280,325,219,
Og,14466,5607,8744,6685,3502,1689,981,266,321,219,
O0,53233,27252,7895,7287,13582,4924,2528,492,1808,551,
O1,15061,8353,7102,8801,2995,1703,967,266,437,219,
O2,13886,5559,7023,6672,2963,1544,882,281,326,219,
Og,14442,10117,8742,6677,3501,1695,979,266,320,219,
O0,52642,27312,7921,7306,13595,4922,2527,492,1812,551,
O1,14903,8331,7109,8777,2981,1705,966,266,437,218,
O2,13916,5560,7055,6692,2959,1573,883,281,326,219,
Og,14439,9209,8748,6710,3505,1689,979,266,320,221,
O0,52361,27280,7887,7224,13596,4878,2515,497,1850,592,
O1,15180,8344,7076,8785,2995,1695,958,266,437,219,
O2,13852,5554,7022,6673,2971,1546,882,279,325,219,
Og,14471,5742,8743,6685,3502,1691,979,267,321,221,
O0,52342,28603,7893,7224,13585,4895,2506,489,1807,586,
O1,14871,10269,7122,8788,2961,1719,968,266,437,218,
O2,13840,5514,7011,6670,2958,1543,884,279,325,218,
Og,14450,9616,8747,6680,3501,1690,978,267,321,219,
O0,52498,27263,7886,7235,13641,4871,2498,493,1811,551,
O1,15008,8346,7090,8811,2999,1694,958,268,437,219,
O2,13744,5549,7017,6668,2957,1539,876,280,325,219,
Og,14460,5942,8753,6685,3505,1711,985,268,322,220,
O0,52552,27696,7890,7231,13588,4890,2509,488,1811,550,
O1,15040,7508,7135,8801,2983,1685,958,266,437,219,
O2,13692,5543,7029,6668,2957,1537,889,279,325,219,
Og,14472,6266,8785,6700,3506,1709,978,268,322,219,
O0,52477,27239,7868,7231,13617,4886,2532,538,1814,560,
O1,15077,7667,7128,8897,3050,1745,1017,359,492,252,
O2,13964,5574,7057,6673,2962,1544,880,304,358,250,
Og,14463,5611,8744,6680,3502,1691,979,267,321,218,
O0,53243,28650,7910,7258,13583,4933,2653,555,1831,590,
O1,14925,6252,7103,8798,2991,1709,969,270,440,221,
O2,13808,5560,7015,6674,2957,1541,876,280,326,219,
Og,14446,5620,8788,6686,3503,1701,984,266,321,218,
O0,52429,27249,7889,7277,13616,4880,2490,482,1801,549,
O1,14969,7770,7062,8799,2994,1693,959,266,439,219,
O2,13861,5559,7035,6693,2965,1551,885,280,324,218,
Og,14469,5622,8752,6677,3502,1689,993,266,321,219,
O0,52350,27972,7895,7240,13607,4904,2507,486,1804,554,
O1,15001,8433,7098,8796,2995,1694,960,266,437,218,
O2,13750,5545,7039,6684,2958,1537,888,279,325,218,
Og,14468,5609,8761,6682,3504,1692,990,266,321,219,
O0,52422,27272,7951,7327,13625,4893,2510,495,1805,553,
O1,14890,10758,7109,8797,2994,1754,1005,319,450,219,
O2,13993,5553,7050,6663,3033,1538,876,282,326,219,
Og,14506,6810,8753,6714,3503,1708,990,266,321,219,
O0,52412,27273,10186,7237,13585,4893,2505,490,1802,551,
O1,15050,8365,7067,10866,2983,1697,959,268,437,219,
O2,13833,5511,7061,6703,2972,1549,883,281,325,219,
Og,14551,5627,8770,6734,3501,1714,991,267,321,218,
O0,52370,29096,7922,7300,13588,4867,2488,482,1806,550,
O1,14951,7175,7080,8777,2987,1694,952,267,437,219,
O2,13837,5533,7031,6697,2957,1552,884,280,325,219,
Og,14449,5604,8746,6698,3506,1699,985,268,322,220,
O0,52438,27256,7895,7223,13586,4893,2511,488,1865,570,
O1,15062,8336,7091,8783,2994,1705,964,266,437,219,
O2,13797,5589,7059,6719,2985,1552,893,280,325,218,
Og,14490,5631,8758,6697,3503,1706,2046,268,322,219,
O0,52437,27399,7912,7276,13590,4900,2499,487,1791,550,
O1,15003,7321,7094,8784,2978,1693,962,268,437,218,
O2,13858,5541,7009,6663,2957,1542,878,281,326,219,
Og,14471,5605,8763,6681,3518,1692,979,268,322,219,
O0,52452,29638,7861,7236,13596,4872,2499,501,1807,555,
O1,15026,8347,7060,8813,2995,1684,953,268,439,219,
O2,13689,5523,7013,6659,2958,1537,877,282,325,219,
Og,14454,5615,8746,6742,3503,1706,993,268,322,219,
O0,52446,27392,11170,7221,13590,4891,2487,485,1805,550,
O1,14911,7705,7116,8778,2958,1705,973,270,438,219,
O2,13784,5542,7013,6668,2957,1539,875,280,326,218,
Og,14461,5611,10610,6697,3503,1704,979,268,321,220,
O0,53295,28211,7916,7283,13615,4866,2489,483,1809,555,
O1,14932,8336,7106,8778,2994,1705,965,267,438,219,
O2,14100,5581,7086,6683,2962,1540,884,281,326,219,
Og,14487,5750,8767,6693,3508,1698,985,267,325,219,
O0,52404,27295,7925,7299,13594,4875,2522,513,1820,555,
O1,15050,8335,7070,8792,2994,1686,952,267,437,219,
O2,13894,5559,7024,9245,2957,1542,879,281,326,219,
Og,14443,5593,8746,6680,3501,1693,978,267,320,218,
O0,52382,29475,7945,7375,13638,4882,2509,519,1825,616,
O1,14920,8349,7093,8776,2955,1710,965,267,437,219,
O2,13863,5526,7033,6671,2963,1545,881,281,329,219,
Og,14439,5589,8745,6722,3504,1707,993,268,321,218,
O0,53259,27265,7871,7240,13894,4934,2517,498,1806,563,
O1,14997,8344,7113,8777,2994,1704,965,267,440,219,
O2,13841,5521,7029,6677,2958,1544,889,281,326,219,
Og,14440,5611,8745,6715,3502,1706,997,267,322,219,
